(playable-blip) (base) pool@pool-geek:/media/pool/PLAYABLE-D/work/tests$ python blip.py 
[device] cuda | mps_built=False | mps_available=False
[00:02:15] a black and white photo of a desert  (0.272s)
[00:34:28] a horse drawn carriage is seen in this und - news file photo  (0.089s)
[00:34:30] a horse drawn carriage travels through the woods  (0.065s)
[00:34:32] a black and white photo of a tree  (0.063s)
[00:34:34] a man riding a horse through the woods  (0.062s)
[00:34:36] a black and white photo of a field with rocks  (0.074s)
[00:34:38] a black and white photo of rocks and mountains  (0.068s)
[00:34:40] a rocky mountain with rocks and boulders  (0.057s)
[00:34:42] a rocky mountain with rocks and boulders  (0.060s)
[00:34:44] a black and white photo of rocks and boulders  (0.069s)
[00:34:46] a black and white photo of rocks and boulders  (0.066s)
[00:34:48] a group of people riding horses through the desert  (0.066s)
[00:34:50] a black and white photo of a desert scene  (0.068s)
[00:34:52] a man in a cowboy hat sitting on a couch  (0.073s)
[00:34:54] a man in a hat and tie holding his hands to his face  (0.088s)
[00:34:56] a man in a cowboy hat and a suit  (0.066s)
[00:34:58] a man in a cowboy hat is sitting down  (0.068s)
[00:35:00] a group of people riding horses through a desert  (0.066s)
[00:35:02] a man riding on the back of a horse drawn carriage  (0.076s)
[00:35:04] a man in a cowboy hat sits in a chair  (0.072s)
[00:35:06] a man in a cowboy hat sits on a couch  (0.071s)
[00:35:08] a large rock in the middle of a desert  (0.068s)
[00:35:10] a man riding on the back of a horse  (0.066s)
[00:35:12] two men riding horses in the desert  (0.059s)
[00:35:14] two men riding on a horse drawn by a wagon  (0.072s)
[00:35:16] two men in hats sit on top of a truck  (0.072s)
[00:35:18] a man and woman standing in front of a wooden building  (0.078s)
[00:35:20] a man and woman standing in front of a wooden building  (0.080s)
[00:35:22] a group of men riding horses through a field  (0.067s)
[00:35:24] a man is riding in a horse drawn carriage  (0.067s)
[00:35:26] a man riding on the back of a horse drawn carriage  (0.077s)
[00:35:29] a horse pulling a cart with a man in it  (0.071s)
[00:35:31] a man riding on the back of a horse  (0.066s)
[00:35:33] a man is riding a horse in the field  (0.066s)
[00:35:35] a group of men working in a field  (0.061s)
[00:35:37] a man in a cowboy hat and vest standing next to a wagon  (0.089s)
[00:35:39] a man in a hat standing next to a house  (0.075s)
[00:35:41] a man and woman standing in front of a house  (0.071s)
[00:35:43] a woman in a dress standing next to a man  (0.073s)
[00:35:45] a woman in a dress and hat standing next to a man  (0.082s)
[00:35:47] a man and woman standing in front of a building  (0.073s)
[00:35:49] two people riding horses on a rocky trail  (0.062s)
[00:35:51] two men in cowboy hats looking out over a town  (0.076s)
[00:35:53] two men in cowboy hats look out over a town  (0.073s)
[00:35:55] a group of people standing around a horse drawn carriage  (0.072s)
[00:35:57] a horse drawn carriage  (0.042s)
[00:35:59] a group of people standing around a horse drawn carriage  (0.076s)
[00:36:01] a man in a hat is looking out the window  (0.074s)
[00:36:03] a man in a hat is looking out the window of a train  (0.089s)
[00:36:05] a man in a hat looking at a mirror  (0.068s)
[00:36:07] a man in a cowboy hat is talking to a group of men  (0.088s)
[00:36:09] a group of men standing next to a train  (0.071s)
[00:36:11] a group of men standing next to a train  (0.068s)
[00:36:13] a man in a cowboy hat standing next to a horse  (0.078s)
[00:36:15] a black and white photo of a man and a horse  (0.078s)
[00:36:17] a horse pulling a wagon with a man standing next to it  (0.083s)
[00:36:19] two men looking out over a town  (0.058s)
[00:36:21] two men looking out over a valley  (0.058s)
[00:36:23] two men looking out over a valley  (0.058s)
[00:36:25] two men looking out over a valley  (0.057s)
[00:36:27] a man riding a horse in the desert  (0.062s)
[00:36:29] a man riding a horse next to a tree  (0.066s)
[00:36:31] a horse is standing in the grass near a tree  (0.074s)
[00:36:33] two horses pulling a man in a carriage  (0.064s)
[00:36:35] a man riding on the back of a horse drawn carriage  (0.078s)
[00:36:37] a man riding a horse with a lasser  (0.066s)
[00:36:39] two men riding horses in the desert  (0.056s)
[00:36:41] a woman standing next to a wooden cross  (0.061s)
[00:36:43] a woman standing next to a wooden cross  (0.063s)
[00:36:45] a woman in a dress and a man in a suit walking down a dirt road  (0.103s)
[00:36:47] a group of people standing around a tree  (0.064s)
[00:36:49] a group of people standing around a tree  (0.064s)
[00:36:51] a group of people standing in the desert  (0.061s)
[00:36:53] a man standing next to a woman in a field  (0.074s)
[00:36:55] a woman standing in front of a cross  (0.060s)
[00:36:57] a man standing in a room with a table  (0.066s)
[00:36:59] a man standing in front of a table  (0.064s)
[00:37:01] the man in the hat is standing at the table  (0.071s)
[00:37:03] the man in the hat is standing at the table  (0.071s)
[00:37:05] the three men are standing around a table  (0.061s)
[00:37:07] a woman in a long dress standing in a room  (0.072s)
[00:37:09] a woman in a long dress stands in a dark room  (0.077s)
[00:37:11] a woman in a long dress stands in a dark room  (0.078s)
[00:37:13] the girl in the house  (0.048s)
[00:37:15] a woman in a long dress is standing next to a man  (0.082s)
[00:37:17] a woman and child in a kitchen  (0.056s)
[00:37:19] a man sitting in a chair with a book  (0.067s)
[00:37:21] the man in the hat is talking to two women at a table  (0.090s)
[00:37:23] the man in the hat is talking to the woman in the kitchen  (0.088s)
[00:37:25] a man is sitting at a table with a woman  (0.075s)
[00:37:27] a group of people sitting around a table  (0.065s)
[00:37:29] a man standing in front of a window holding a plate  (0.079s)
[00:37:31] a man and woman in a barn  (0.058s)
[00:37:33] a man in a hat and a man in a suit  (0.080s)
[00:37:35] a man in a hat and a woman in a dress  (0.077s)
[00:37:37] a man in a hat and a woman in a dress  (0.076s)
[00:37:39] a man in a hat and a woman in a dress  (0.076s)
[00:37:41] a man in a hat and a woman in a dress  (0.081s)
[00:37:43] a man in a hat and a woman in a dress  (0.079s)
[00:37:45] a man in a hat and a woman in a dress  (0.079s)
[00:37:47] a man in a hat and jacket talking to another man  (0.077s)
[00:37:49] a man with a knife in his hand  (0.062s)
[00:37:51] a man in a black shirt looking at another  (0.069s)
[00:37:53] a man in a cowboy hat standing in front of a window  (0.083s)
[00:37:55] a man standing in front of a window  (0.062s)
[00:37:57] a man in a hat and a woman in a dress  (0.079s)
[00:37:59] a man in a hat and jacket looking at another man in a suit  (0.092s)
[00:38:01] a man with a hairdol in a dark room  (0.078s)
[00:38:03] a man in a hat and jacket with a cigarette  (0.072s)
[00:38:05] a man in a hat and vest is looking at the camera  (0.085s)
[00:38:07] a man in a hat and vest is looking at something  (0.078s)
[00:38:09] a group of people sitting around a table  (0.064s)
[00:38:11] a woman sitting at a table with two men and a woman standing next to her  (0.103s)
[00:38:13] a family sits at a table with a man and woman  (0.078s)
[00:38:15] a family sits at a table eating dinner  (0.064s)
[00:38:17] a woman sitting at a table with two men and a woman sitting at a table  (0.103s)
[00:38:19] the family is sitting at the table  (0.057s)
[00:38:21] the family is sitting at the table in the dining room  (0.078s)
[00:38:23] a woman in a dress sits at a table  (0.067s)
[00:38:25] a woman in a dress sits at a table  (0.068s)
[00:38:27] a man and two women sitting at a table  (0.069s)
[00:38:29] a man and woman sitting at a table  (0.063s)
[00:38:31] a man and woman sitting at a table  (0.063s)
[00:38:33] a family sits at a table with a man and woman  (0.078s)
[00:38:35] a family sits at a table with a man and woman  (0.078s)
[00:38:37] a family sits at a table in a restaurant  (0.066s)
[00:38:39] a family sits at a table with a man and woman  (0.078s)
[00:38:41] a family sits at a table in a kitchen  (0.068s)
[00:38:43] a family sits at a table with a man and woman  (0.079s)
[00:38:45] a family sits at a table in a kitchen  (0.068s)
[00:38:47] a man and woman sitting at a table  (0.063s)
[00:38:49] a family sitting around a table eating dinner  (0.064s)
[00:38:51] a group of people sitting around a table  (0.063s)
[00:38:53] a woman sitting at a table with two men  (0.069s)
[00:38:55] a man and woman sitting at a table  (0.063s)
[00:38:57] a man and woman sitting at a table with a child  (0.078s)
[00:38:59] a woman sitting at a table with two men and a woman standing behind her  (0.100s)
[00:39:01] a young boy with a cigarette in his mouth  (0.067s)
[00:39:03] a woman in a dress sits at a table  (0.068s)
[00:39:05] a woman in a dress sitting at a table  (0.072s)
[00:39:07] a woman in a dress sitting at a table  (0.068s)
[00:39:09] a woman in a dress is sitting at a table  (0.073s)
[00:39:11] a woman in a dress sitting at a table  (0.068s)
[00:39:13] a family sits at a table in a kitchen  (0.066s)
[00:39:15] a man and two boys sitting at a table  (0.065s)
[00:39:17] a woman in a dress sitting at a table  (0.067s)
[00:39:19] a woman in a dress sits at a table  (0.068s)
[00:39:21] a woman sitting at a table with two men  (0.069s)
[00:39:23] a woman sitting at a table with two men and a woman standing next to her  (0.103s)
[00:39:25] a man in a plaid shirt sits at a table  (0.076s)
[00:39:27] a man in a plaid shirt is pointing his finger at the camera  (0.089s)
[00:39:29] a woman sitting at a table with two men  (0.065s)
[00:39:31] a woman sitting at a table with two men and a woman standing next to her  (0.101s)
[00:39:33] a man and two women sitting at a table  (0.068s)
[00:39:35] a man and two women sitting at a table  (0.071s)
[00:39:37] a man in a jacket holding a microphone  (0.066s)
[00:39:39] a man in a plaid shirt sitting at a table  (0.072s)
[00:39:41] a group of people sitting around a table  (0.065s)
[00:39:43] a man sitting at a table with two women  (0.067s)
[00:39:45] a family sits at a table in a dark room  (0.073s)
[00:39:47] a family sits at a table in a dark room  (0.072s)
[00:39:49] a man in a hat and coat holding a gun  (0.072s)
[00:39:51] a man in a hat and coat holding a gun  (0.073s)
[00:39:53] a man in a cowboy hat holding a gun  (0.067s)
[00:39:55] a man in a hat and coat standing next to a building  (0.084s)
[00:39:57] a man in a cowboy hat and a cowboy standing next to a building  (0.094s)
[00:39:59] a man in a cowboy hat and a woman in a dress  (0.082s)
[00:40:01] a man and woman sitting at a table  (0.063s)
[00:40:03] a man and woman sitting at a table  (0.065s)
[00:40:05] a man and woman sitting at a table  (0.064s)
[00:40:07] a man and woman sitting at a table  (0.065s)
[00:40:09] a man and woman sitting at a table  (0.066s)
[00:40:11] a man and woman sitting at a table  (0.063s)
[00:40:13] a woman in a leopard print shirt  (0.057s)
[00:40:15] a woman in a dress is looking at the camera  (0.075s)
[00:40:17] a man in a shirt sitting down with his hand on his chin  (0.090s)
[00:40:19] a man sitting at a table with his hand on his chin  (0.082s)
[00:40:21] a man in a suit sitting down and pointing his finger at the camera  (0.096s)
[00:40:23] a woman in a dress is looking at the camera  (0.073s)
[00:40:25] a woman in a dress is looking at the camera  (0.073s)
[00:40:27] a man standing in a dark room with a light on his face  (0.089s)
[00:40:29] a family sits at a table in a dark room  (0.071s)
[00:40:31] a family sits around a table in a scene from the film  (0.081s)
[00:40:33] a man in a hat and jacket standing in front of a building  (0.086s)
[00:40:35] a man in a suit and hat standing in a doorway  (0.077s)
[00:40:37] a man standing in a doorway with a dog  (0.067s)
[00:40:39] a man standing in a doorway with a dog  (0.066s)
[00:40:41] a man and woman standing in front of a house  (0.073s)
[00:40:43] a man standing in front of a building  (0.062s)
[00:40:45] a man in a suit and tie walking down a wooden walkway  (0.081s)
[00:40:47] a man in a long coat walking down a path  (0.073s)
[00:40:49] a man in a plaid shirt is talking to another man  (0.081s)
[00:40:51] a man in a plaid shirt is talking to another man  (0.075s)
[00:40:53] a woman in a plaid shirt talking to a man  (0.072s)
[00:40:55] a man in a plaid shirt is looking at another man  (0.076s)
[00:40:57] a man in a plaid shirt looking at his reflection in the mirror  (0.086s)
[00:40:59] a woman in a plaid shirt and a man in a plaid shirt  (0.088s)
[00:41:01] a woman in a plaid shirt and a man in a plaid shirt  (0.088s)
[00:41:03] a man and woman in a room  (0.058s)
[00:41:05] a man and woman standing in a dark room  (0.068s)
[00:41:07] a man in a plaid shirt looking at another man  (0.073s)
[00:41:09] a man in a plaid shirt is looking at a woman  (0.080s)
[00:41:11] a man and woman in a dark room  (0.062s)
[00:41:13] a man and woman looking at each other people  (0.068s)
[00:41:15] a man in a hat sits at a table with three women  (0.081s)
[00:41:17] a man in a cowboy hat sits at a table with two other men  (0.093s)
[00:41:19] a man and woman standing under an umbrella  (0.062s)
[00:41:21] a man standing in the shade of a building  (0.068s)
[00:41:23] a black and white photo of people walking through a doorway  (0.078s)
[00:41:25] a man walking down a dirt road next to a building  (0.078s)
[00:41:27] a man and woman standing in a room  (0.063s)
[00:41:29] a man and a woman in a room  (0.062s)
[00:41:31] a man and woman in a room  (0.057s)
[00:41:33] a man and woman in a room  (0.057s)
[00:41:35] a man and woman in a room  (0.059s)
[00:41:37] a man and woman in a room  (0.057s)
[00:41:39] a man and woman in a room  (0.060s)
[00:41:41] a woman standing in front of a window  (0.061s)
[00:41:43] a man in a black and white photo  (0.063s)
[00:41:45] a man in a plaid shirt looking out the window  (0.077s)
[00:41:47] a man in a plaid shirt looking out the window  (0.073s)
[00:41:49] a man in a hat and coat standing next to a lamp  (0.086s)
[00:41:51] a man smoking a cigarette in the dark  (0.063s)
[00:41:53] a man in a plaid shirt leaning against a wall  (0.073s)
[00:41:55] a man holding a cat in his arms  (0.063s)
[00:41:57] a man in a black shirt looking at another  (0.070s)
[00:41:59] a woman in a dress standing next to a man  (0.073s)
[00:42:01] a woman in a dress looking at another  (0.063s)
[00:42:03] a woman in a dress standing next to a man  (0.073s)
[00:42:05] a woman in a dress looking at another  (0.062s)
[00:42:07] a woman in a dress looking at another  (0.061s)
[00:42:09] a woman in a dress is standing in a dark room  (0.078s)
[00:42:11] a man and woman in a dark room  (0.063s)
[00:42:13] a woman in a dress standing next to a man  (0.072s)
[00:42:15] a man in a suit and tie standing next to a woman  (0.082s)
[00:42:17] a man standing in front of a stone wall  (0.067s)
[00:42:19] a woman standing in front of a stone wall  (0.069s)
[00:42:21] a man and woman standing in front of a stone wall  (0.077s)
[00:42:23] a man and woman standing in front of a wall  (0.073s)
[00:42:25] a man and woman standing in a field  (0.063s)
[00:42:27] a man and woman standing next to each other people  (0.076s)
[00:42:29] a man and woman in cowboy attire  (0.056s)
[00:42:31] a man and woman in cowboy attire  (0.057s)
[00:42:33] a man and woman in cowboy attire  (0.058s)
[00:42:35] a man and woman in cowboy attire  (0.057s)
[00:42:37] a man and woman in a cowboy outfit  (0.065s)
[00:42:39] a woman in a dress standing in a room  (0.068s)
[00:42:41] a woman in a long dress riding a horse  (0.067s)
[00:42:43] a woman riding a horse  (0.047s)
[00:42:45] a woman riding a horse  (0.049s)
[00:42:47] a woman standing under a covered structure in the desert  (0.074s)
[00:42:49] a man and woman standing under a shelter  (0.063s)
[00:42:51] a woman and child walking under a wooden structure  (0.075s)
[00:42:53] a black and white photo of a man on a horse  (0.078s)
[00:42:55] a black and white photo of a man on a horse  (0.078s)
[00:42:57] a black and white photo of two men riding horses  (0.074s)
[00:42:59] two people riding horses through the desert  (0.061s)
[00:43:01] a man and woman standing in the desert  (0.063s)
[00:43:03] two men walking through a fence in the desert  (0.068s)
[00:43:05] a woman standing in front of a building  (0.063s)
[00:43:07] a black and white photo of a man in a hat  (0.076s)
[00:43:09] a group of people riding horses down a dirt road  (0.073s)
[00:43:11] a man riding a horse through a forest  (0.063s)
[00:43:13] a woman and two children stand in front of a window  (0.079s)
[00:43:15] the three children are standing in front of a window  (0.073s)
[00:43:17] a woman and two children stand in a dark room  (0.074s)
[00:43:19] a man and a woman standing next to each other people  (0.078s)
[00:43:21] the three boys are standing in front of a window  (0.074s)
[00:43:23] a woman and two children stand in front of a door  (0.078s)
[00:43:25] the three boys are standing in front of a building  (0.070s)
[00:43:27] a woman and two children stand in front of a building  (0.081s)
[00:43:29] a man and two children stand in a dark room  (0.075s)
[00:43:31] the three children are standing in front of a window  (0.075s)
[00:43:33] a woman and two children stand in front of a window  (0.079s)
[00:43:35] a black and white photo of a forest  (0.063s)
[00:43:37] a man riding a horse in the dark  (0.061s)
[00:43:39] a group of people walking down a path  (0.063s)
[00:43:41] a group of men riding horses down a road  (0.068s)
[00:43:43] a group of men riding horses down a hill  (0.070s)
[00:43:45] two men riding horses in the dark  (0.060s)
[00:43:47] a man standing in the woods with a rifle  (0.068s)
[00:43:49] a man riding a horse through a forest  (0.062s)
[00:43:51] two people riding horses through the woods  (0.059s)
[00:43:53] two men riding horses in the woods  (0.058s)
[00:43:55] a man riding a horse in the woods  (0.061s)
[00:43:57] a man riding a horse in the woods  (0.064s)
[00:43:59] a man riding a horse in the dark  (0.062s)
[00:44:01] a man riding a horse through the woods  (0.063s)
[00:44:03] a black and white photo of a barn  (0.064s)
[00:44:05] a small building with a sign on it  (0.063s)
[00:44:07] a small building with a sign on it  (0.063s)
[00:44:09] a train track with a building and a train track  (0.071s)
[00:44:11] a train track with a small building on the side  (0.075s)
[00:44:13] two men riding horses on a train track  (0.065s)
[00:44:15] two men riding horses in a field  (0.060s)
[00:44:17] a man riding a horse across a bridge  (0.064s)
[00:44:19] a man riding a horse in a rural setting  (0.070s)
[00:44:21] a black and white photo of a man on a horse  (0.079s)
[00:44:23] a man in a suit and hat riding a horse  (0.076s)
[00:44:25] a group of people riding horses on a road  (0.068s)
[00:44:27] a group of people riding horses down a train track  (0.070s)
[00:44:29] a black and white photo of a man on a horse  (0.081s)
[00:44:31] a man riding a horse down a train track  (0.070s)
[00:44:33] a man riding a horse down a train track  (0.070s)
[00:44:35] a black and white photo of a farm  (0.063s)
[00:44:37] a black and white photo of two men riding horses  (0.073s)
[00:44:39] a group of people riding horses down a track  (0.069s)
[00:44:41] a group of men riding horses down a train track  (0.074s)
[00:44:43] a black and white photo of two men riding horses  (0.074s)
[00:44:45] two people riding horses in a rural setting  (0.062s)
[00:44:47] a man riding a horse  (0.047s)
[00:44:49] two men on horses in front of a barn  (0.069s)
[00:44:51] a group of men riding horses in front of a building  (0.078s)
[00:44:53] two men riding horses in a rural setting  (0.062s)
[00:44:55] two men on horses in a rural area  (0.062s)
[00:44:57] a group of men riding horses on a track  (0.066s)
[00:44:59] a black and white photo of a building  (0.062s)
[00:45:01] a black and white photo of a building  (0.063s)
[00:45:03] a black and white photo of a small village  (0.067s)
[00:45:05] a man walking through a dirt covered village  (0.063s)
[00:45:07] a man walking down a dirt road in the middle of a village  (0.088s)
[00:45:09] a man walking down a dirt road next to a building  (0.078s)
[00:45:11] a man riding a horse down a dirt road  (0.067s)
[00:45:13] a man riding a horse down a dirt road  (0.070s)
[00:45:15] a black and white image of a man on a horse  (0.077s)
[00:45:17] a black and white photo of a small town  (0.067s)
[00:45:19] a black and white photo of a small town  (0.068s)
[00:45:21] a black and white photo of a man walking down a dirt road  (0.087s)
[00:45:23] a black and white photo of a horse in a town  (0.076s)
[00:45:25] a black and white photo of a small town  (0.066s)
[00:45:27] a black and white photo of a small town  (0.066s)
[00:45:29] a black and white photo of a town  (0.061s)
[00:45:31] a man walking down a dirt road in a small town  (0.076s)
[00:45:33] two men riding horses in a small town  (0.062s)
[00:45:35] two men riding horses in a dirt lot  (0.063s)
[00:45:37] two people riding horses in front of a building  (0.067s)
[00:45:39] a man riding a horse down a dirt road  (0.068s)
[00:45:41] a man riding a horse down a street  (0.063s)
[00:45:43] a horse is standing in front of a building  (0.067s)
[00:45:45] a horse is standing in front of a building  (0.067s)
[00:45:47] a man riding a horse in front of a building  (0.074s)
[00:45:49] a horse is standing in front of a building  (0.068s)
[00:45:51] a horse is standing in front of a building  (0.068s)
[00:45:53] a black and white photo of a man standing outside a building  (0.084s)
[00:45:55] a black and white photo of a man standing in front of a barn  (0.093s)
[00:45:57] a black and white photo of a man standing in front of a building  (0.095s)
[00:45:59] a man standing in front of a wooden house  (0.070s)
[00:46:01] a black and white photo of a wooden building  (0.069s)
[00:46:03] a black and white photo of a barn  (0.063s)
[00:46:05] a black and white photo of a wooden building  (0.070s)
[00:46:07] a man in a suit and hat standing in a doorway  (0.079s)
[00:46:09] a man in a suit and hat standing next to another man  (0.085s)
[00:46:11] three men in suits and hats stand in a room  (0.073s)
[00:46:13] a man in a suit and hat standing next to another man  (0.088s)
[00:46:15] two men in cowboy hats stand in a doorway  (0.072s)
[00:46:17] two men in cowboy hats stand in a doorway  (0.071s)
[00:46:19] two men in a room with a door  (0.064s)
[00:46:21] a man in a cowboy hat and a man in a suit  (0.084s)
[00:46:23] a man in a cowboy hat standing in a doorway  (0.070s)
[00:46:25] a room with a staircase and a statue  (0.064s)
[00:46:27] a man in a cowboy hat and a woman in a dress  (0.082s)
[00:46:29] a man sitting on a couch reading a book  (0.067s)
[00:46:31] a man in a hat and a woman in a dress  (0.083s)
[00:46:33] a group of men standing in a room  (0.063s)
[00:46:35] a man in a hat and a woman in a dress  (0.078s)
[00:46:37] a group of men standing around a table  (0.061s)
[00:46:39] the three men are standing in a room  (0.062s)
[00:46:41] the three men are walking up the stairs  (0.061s)
[00:46:43] a man in a suit and hat walking up the stairs  (0.079s)
[00:46:45] two men walking up the stairs of a house  (0.066s)
[00:46:47] a man standing on the stairs of a house  (0.068s)
[00:46:49] a man in a suit and hat standing on a staircase  (0.078s)
[00:46:51] two men standing on the stairs of a house  (0.068s)
[00:46:53] a man standing on the stairs of a house  (0.071s)
[00:46:55] a man standing on a staircase next to a chandel  (0.077s)
[00:46:57] a man standing on a staircase next to a woman  (0.073s)
[00:46:59] two men walking down a hallway in a house  (0.070s)
[00:47:01] two men in hats stand on a porch  (0.063s)
[00:47:03] two men in cowboy hats and jackets walking down a hallway  (0.078s)
[00:47:05] two men in cowboy hats stand next to each other men  (0.079s)
[00:47:07] three men in cowboy hats stand in front of a building  (0.079s)
[00:47:09] three men in cowboy hats stand in front of a building  (0.081s)
[00:47:11] three men in cowboy hats stand in front of a building  (0.080s)
[00:47:13] three men in cowboy hats stand next to each other men  (0.077s)
[00:47:15] two men in hats and coats stand outside a building  (0.071s)
[00:47:17] a man in a hat and overall standing in a doorway  (0.080s)
[00:47:19] a man in a hat and coat standing next to another man  (0.088s)
[00:47:21] two men in cowboy hats are standing next to each other men  (0.085s)
[00:47:23] two men in hats are standing next to each other men  (0.078s)
[00:47:25] a man in a suit and tie standing next to a clock  (0.083s)
[00:47:27] a man standing in a room with a mirror  (0.065s)
[00:47:29] a man standing in a room with a clock  (0.071s)
[00:47:31] a room with a chair and a lamp  (0.062s)
[00:47:33] a man in a hat standing in a room  (0.071s)
[00:47:35] a man in a hat standing in a room  (0.073s)
[00:47:37] a man in a hat and coat standing in a room  (0.078s)
[00:47:39] a man in a suit and hat standing in a room  (0.081s)
[00:47:41] a man in a suit and hat standing in a room  (0.077s)
[00:47:43] a man in a hat and coat standing in a room  (0.077s)
[00:47:45] a man in a hat and uniform standing in a room  (0.077s)
[00:47:47] a man standing in a room with a dog  (0.067s)
[00:47:49] a man in a suit and hat standing in a room  (0.077s)
[00:47:51] a man standing in a room with a chair  (0.068s)
[00:47:53] a man standing in a room with a guitar  (0.068s)
[00:47:55] a man in a hat and coat standing in a room  (0.078s)
[00:47:57] a man in a cowboy hat standing in a room  (0.075s)
[00:47:59] a man sitting on a bed in a room  (0.071s)
[00:48:01] a man sitting on a bed in a room  (0.069s)
[00:48:03] a man sitting on a bed  (0.053s)
[00:48:05] a man sitting on a bed in a room  (0.067s)
[00:48:07] a man standing in front of a piano  (0.064s)
[00:48:09] a man standing in a room with a chair  (0.069s)
[00:48:11] a man in a room with a chair and a lamp  (0.079s)
[00:48:13] a man sitting in a room with a guitar  (0.068s)
[00:48:15] a man sitting in a room with a chair  (0.068s)
[00:48:17] a man sitting in a chair in front of a window  (0.078s)
[00:48:19] a man sitting in a chair looking out the window  (0.073s)
[00:48:21] a man sitting on a bed in a room  (0.067s)
[00:48:23] a man sitting on a bed in a room  (0.066s)
[00:48:25] a man sitting in a chair with a dog  (0.067s)
[00:48:27] a man sitting in a chair looking out a window  (0.075s)
[00:48:29] a man sitting in a chair looking out the window  (0.073s)
[00:48:31] a man sitting in a chair looking out the window  (0.073s)
[00:48:33] a man sitting on a bed in a room  (0.067s)
[00:48:35] a man sitting on a bed in a room  (0.068s)
[00:48:37] a man sitting on a bed in a room  (0.068s)
[00:48:39] a man sitting on a bed in a room  (0.068s)
[00:48:41] a man sitting on a bed in a room  (0.070s)
[00:48:43] a man sitting on a bed in a room  (0.069s)
[00:48:45] a man sitting on a bed in a room  (0.070s)
[00:48:47] a man sitting on a bed in a room  (0.071s)
[00:48:49] a man sitting in a chair in front of a window  (0.080s)
[00:48:51] a man in a hat sitting on a bed  (0.067s)
[00:48:53] a man sitting on a bed in a room  (0.065s)
[00:48:55] a man sitting in a room with a chair  (0.068s)
[00:48:57] a man sitting in a room with a chair  (0.068s)
[00:48:59] a man sitting in a room with a chair  (0.067s)
[00:49:01] a man sitting in a room with a chair  (0.069s)
[00:49:03] a man sitting in a room with a chair  (0.068s)
[00:49:05] a man sitting in a room with a chair  (0.067s)
[00:49:07] a man sitting in a room with a chair  (0.067s)
[00:49:09] a man sitting on a chair in a room  (0.067s)
[00:49:11] a room with a chair, a table and a lamp  (0.080s)
[00:49:13] a man in a room with a chair and a table  (0.079s)
[00:49:15] a man in a hat and a man in a suit stand in front of a window  (0.108s)
[00:49:17] a man standing in a doorway with a large piece of art  (0.083s)
[00:49:19] a man sitting in a chair with a large snake  (0.074s)
[00:49:21] a man is working on a sculpture in a room  (0.073s)
[00:49:23] a man in a window with a mask on  (0.068s)
[00:49:25] a man sitting in a window with a guitar  (0.067s)
[00:49:27] a man standing in front of a window with a knife  (0.082s)
[00:49:29] a man sitting on a bed in a room  (0.068s)
[00:49:31] a man is sitting on a chair in a room  (0.073s)
[00:49:33] a man in a hat and a hat on a chair  (0.078s)
[00:49:35] a man in a hat and a hat is holding a baseball bat  (0.086s)
[00:49:37] a man in a hat and a hat on a chair  (0.077s)
[00:49:39] a man in a suit and tie is holding a gun  (0.079s)
[00:49:41] a man in a cowboy hat sits on a chair  (0.073s)
[00:49:43] a man in a cowboy hat sits on a chair  (0.072s)
[00:49:45] a man standing in a room with a guitar  (0.070s)
[00:49:47] a man sitting on a chair with a gun  (0.068s)
[00:49:49] a man in a cowboy hat and jacket  (0.064s)
[00:49:51] a man holding a knife in a room  (0.061s)
[00:49:53] a man is working on a sculpture in a room  (0.071s)
[00:49:55] a man is standing in a room with a chair  (0.072s)
[00:49:57] two men sitting on a couch playing guitar  (0.062s)
[00:49:59] a man in a plaid shirt holding a gun  (0.068s)
[00:50:01] a man sitting on a bed holding a gun  (0.071s)
[00:50:03] a man in a cowboy hat sitting on a bed  (0.073s)
[00:50:05] a man in a plaid shirt holding a gun  (0.065s)
[00:50:07] a man sitting on a couch with a guitar  (0.068s)
[00:50:09] a man and woman in a room with a bed  (0.073s)
[00:50:11] a man sitting in front of a woman  (0.062s)
[00:50:13] a man in a plaid shirt is talking to another man  (0.078s)
[00:50:15] a man sitting on a couch in a room  (0.067s)
[00:50:17] a man in a plaid shirt holding a gun  (0.069s)
[00:50:19] a man sitting on a chair in front of a mirror  (0.079s)
[00:50:21] a man sitting on a chair in a room  (0.067s)
[00:50:23] a man sitting on a bed next to another man  (0.073s)
[00:50:25] a black and white photo of a small town  (0.071s)
[00:50:27] a group of people are walking around a small town  (0.073s)
[00:50:29] a black and white photo of a man leading cattle to a building  (0.091s)
[00:50:31] a group of people walking down a dirt road  (0.065s)
[00:50:33] a man and a woman are sitting on the stairs  (0.073s)
[00:50:35] a man and a woman are sitting on the stairs  (0.074s)
[00:50:37] a man sitting on a couch reading a book  (0.067s)
[00:50:39] a man in a hat sitting in a chair reading a newspaper  (0.082s)
[00:50:41] a man in a hat and suit sitting in a chair  (0.076s)
[00:50:43] a man in a hat and suit sitting in a chair  (0.078s)
[00:50:45] a man in a suit and hat sitting next to another man in a suit  (0.098s)
[00:50:47] a man in a suit and hat playing a guitar  (0.073s)
[00:50:49] a man in a suit and hat sitting on a chair  (0.078s)
[00:50:51] a man sitting in a chair with a guitar  (0.068s)
[00:50:53] a man in a suit and hat sitting on a chair  (0.078s)
[00:50:55] a man in a suit and hat sitting next to another man  (0.085s)
[00:50:57] a man in a suit and hat sitting in a chair  (0.078s)
